,1. open,2. high,3. low,4. close,5. volume
2024-11-12,37.915,38.26,37.605,37.605,3269112.0
2024-11-11,38.6,38.8,38.295,38.33,2110711.0
2024-11-08,39.035,39.39,38.05,38.44,4597227.0
2024-11-07,39.665,39.79,39.205,39.455,2581265.0
2024-11-06,39.5,40.205,38.62,38.85,4345403.0
2024-11-05,39.58,39.905,39.335,39.835,2023443.0
2024-11-04,39.34,39.675,39.005,39.01,1783409.0
2024-11-01,39.52,39.57,39.09,39.33,2301870.0
2024-10-31,38.765,38.96,38.305,38.745,3504372.0
2024-10-30,39.895,39.915,39.015,39.085,3304755.0
2024-10-29,39.685,40.305,39.61,40.205,3185610.0
2024-10-28,39.83,39.96,39.51,39.77,1894192.0
2024-10-25,39.0,39.785,38.895,39.705,1802292.0
2024-10-24,38.97,39.51,38.93,39.005,1782898.0
2024-10-23,39.205,39.56,39.105,39.105,1390696.0
2024-10-22,39.0,39.29,38.695,39.17,2557176.0
2024-10-21,39.02,39.24,38.815,38.88,1801042.0
2024-10-18,39.9,39.9,39.305,39.34,4973480.0
2024-10-17,38.695,38.84,38.345,38.5,4115102.0
2024-10-16,39.415,39.415,38.865,38.915,2746912.0
2024-10-15,39.17,39.225,38.45,38.88,6512038.0
2024-10-14,39.78,40.34,39.61,40.175,2485734.0
2024-10-11,39.555,39.915,39.35,39.805,2145645.0
2024-10-10,40.225,40.35,39.31,39.56,2531826.0
2024-10-09,39.595,40.15,39.25,40.15,3413210.0
2024-10-08,39.8,40.34,38.93,40.115,4424464.0
2024-10-07,41.225,41.715,41.17,41.285,2584242.0
2024-10-04,41.215,41.42,40.76,41.01,3239862.0
2024-10-03,41.16,41.4,40.525,40.94,2597644.0
2024-10-02,41.205,41.78,40.785,40.895,4389251.0
